   x    v    u    error 
     0.02830      0.21816      0.21816     -7.07464 
     0.02840      0.21882      0.21882     -7.07463 
     0.02850      0.21947      0.21947     -7.07463 
     0.02860      0.22012      0.22012     -7.07463 
     0.02870      0.22077      0.22077     -7.07463 
     0.02880      0.22142      0.22142     -7.07462 
     0.02890      0.22207      0.22207     -7.07462 
     0.02900      0.22272      0.22272     -7.07462 
     0.02910      0.22337      0.22337     -7.07462 
     0.02920      0.22401      0.22401     -7.07461 
     0.02930      0.22466      0.22466     -7.07461 
     0.02940      0.22531      0.22531     -7.07461 
     0.02950      0.22595      0.22595     -7.07461 
     0.02960      0.22659      0.22659     -7.07460 
     0.02970      0.22724      0.22724     -7.07460 
     0.02980      0.22788      0.22788     -7.07460 
     0.02990      0.22852      0.22852     -7.07460 
     0.03000      0.22916      0.22916     -7.07459 
     0.03010      0.22980      0.22980     -7.07459 
     0.03020      0.23044      0.23044     -7.07459 
     0.03030      0.23108      0.23108     -7.07459 
     0.03040      0.23172      0.23172     -7.07458 
     0.03050      0.23236      0.23236     -7.07458 
     0.03060      0.23300      0.23300     -7.07458 
     0.03070      0.23363      0.23363     -7.07458 
     0.03080      0.23427      0.23427     -7.07457 
     0.03090      0.23490      0.23490     -7.07457 
     0.03100      0.23553      0.23553     -7.07457 
     0.03110      0.23617      0.23617     -7.07457 
     0.03120      0.23680      0.23680     -7.07456 
     0.03130      0.23743      0.23743     -7.07456 
     0.03140      0.23806      0.23806     -7.07456 
     0.03150      0.23869      0.23869     -7.07456 
     0.03160      0.23932      0.23932     -7.07455 
     0.03170      0.23995      0.23995     -7.07455 
     0.03180      0.24058      0.24058     -7.07455 
     0.03190      0.24121      0.24121     -7.07455 
     0.03200      0.24183      0.24183     -7.07454 
     0.03210      0.24246      0.24246     -7.07454 
     0.03220      0.24308      0.24308     -7.07454 
     0.03230      0.24371      0.24371     -7.07454 
     0.03240      0.24433      0.24433     -7.07453 
     0.03250      0.24495      0.24495     -7.07453 
     0.03260      0.24558      0.24558     -7.07453 
     0.03270      0.24620      0.24620     -7.07453 
     0.03280      0.24682      0.24682     -7.07452 
     0.03290      0.24744      0.24744     -7.07452 
     0.03300      0.24806      0.24806     -7.07452 
     0.03310      0.24868      0.24868     -7.07452 
     0.03320      0.24929      0.24929     -7.07451 
     0.03330      0.24991      0.24991     -7.07451 
     0.03340      0.25053      0.25053     -7.07451 
     0.03350      0.25114      0.25114     -7.07451 
     0.03360      0.25176      0.25176     -7.07450 
     0.03370      0.25237      0.25237     -7.07450 
     0.03380      0.25299      0.25299     -7.07450 
     0.03390      0.25360      0.25360     -7.07450 
     0.03400      0.25421      0.25421     -7.07449 
     0.03410      0.25482      0.25482     -7.07449 
     0.03420      0.25543      0.25543     -7.07449 
     0.03430      0.25604      0.25604     -7.07449 
     0.03440      0.25665      0.25665     -7.07448 
     0.03450      0.25726      0.25726     -7.07448 
     0.03460      0.25787      0.25787     -7.07448 
     0.03470      0.25848      0.25848     -7.07448 
     0.03480      0.25908      0.25908     -7.07447 
     0.03490      0.25969      0.25969     -7.07447 
     0.03500      0.26029      0.26029     -7.07447 
     0.03510      0.26090      0.26090     -7.07447 
     0.03520      0.26150      0.26150     -7.07446 
     0.03530      0.26210      0.26210     -7.07446 
     0.03540      0.26271      0.26271     -7.07446 
     0.03550      0.26331      0.26331     -7.07446 
     0.03560      0.26391      0.26391     -7.07445 
     0.03570      0.26451      0.26451     -7.07445 
     0.03580      0.26511      0.26511     -7.07445 
     0.03590      0.26571      0.26571     -7.07445 
     0.03600      0.26630      0.26630     -7.07444 
     0.03610      0.26690      0.26690     -7.07444 
     0.03620      0.26750      0.26750     -7.07444 
     0.03630      0.26809      0.26809     -7.07443 
     0.03640      0.26869      0.26869     -7.07443 
     0.03650      0.26928      0.26928     -7.07443 
     0.03660      0.26988      0.26988     -7.07443 
     0.03670      0.27047      0.27047     -7.07442 
     0.03680      0.27106      0.27106     -7.07442 
     0.03690      0.27165      0.27165     -7.07442 
     0.03700      0.27225      0.27225     -7.07442 
     0.03710      0.27284      0.27284     -7.07441 
